YEAR,DISTRICT,MONTH,AVERAGE LAFD TURNOUT TIME IN DISTRICT - Non-EMS,AVERAGE LAFD TURNOUT TIME IN DISTRICT - EMS,AVERAGE LAFD TRAVEL TIME  IN DISTRICT - Non-EMS,AVERAGE LAFD TRAVEL TIME IN DISTRICT - EMS,INCIDENT COUNT IN DISTRICT - Non-EMS,INCIDENT COUNT IN DISTRICT - EMS
2013,4,Nov,0:01:17,0:01:24,0:03:38,0:03:55,61,396
2013,4,Dec,0:01:15,0:01:21,0:03:53,0:03:47,66,409
2013,4,Overall,0:01:16,0:01:22,0:03:57,0:03:49,681,4647
2013,5,Jan,0:01:15,0:01:25,0:04:36,0:04:58,43,179
2013,5,Feb,0:01:01,0:01:25,0:04:41,0:05:01,43,160
2013,5,Mar,0:01:13,0:01:26,0:03:50,0:04:41,29,188
2013,5,Apr,0:00:57,0:01:15,0:04:40,0:04:43,31,153
2013,5,May,0:01:02,0:01:15,0:04:38,0:04:25,62,141
2013,5,Jun,0:00:58,0:01:20,0:04:15,0:04:48,46,152
2013,5,Jul,0:01:10,0:01:18,0:04:39,0:04:44,42,151
2013,5,Aug,0:01:04,0:01:11,0:03:45,0:04:44,38,140
2013,5,Sep,0:01:09,0:01:15,0:04:20,0:04:43,47,160
2013,5,Oct,0:00:58,0:01:18,0:04:42,0:04:38,37,146
2013,5,Nov,0:01:04,0:01:13,0:04:33,0:04:30,44,163
2013,5,Dec,0:01:10,0:01:11,0:04:25,0:04:42,37,167
2013,5,Overall,0:01:05,0:01:18,0:04:26,0:04:44,499,1900
2013,6,Jan,0:01:10,0:01:18,0:03:01,0:03:31,87,341
2013,6,Feb,0:01:17,0:01:15,0:03:32,0:03:33,66,306
2013,6,Mar,0:01:15,0:01:19,0:04:05,0:03:23,60,340
2013,6,Apr,0:01:04,0:01:14,0:03:34,0:03:25,62,293
2013,6,May,0:01:14,0:01:15,0:03:25,0:03:21,60,320
2013,6,Jun,0:01:17,0:01:14,0:03:07,0:03:30,62,327
2013,6,Jul,0:01:10,0:01:16,0:03:21,0:03:26,88,298
2013,6,Aug,0:01:10,0:01:15,0:03:35,0:03:17,62,312
2013,6,Sep,0:01:22,0:01:14,0:03:31,0:03:32,66,335
2013,6,Oct,0:01:13,0:01:14,0:03:40,0:03:29,66,330
2013,6,Nov,0:01:10,0:01:15,0:03:09,0:03:18,71,292
2013,6,Dec,0:01:20,0:01:20,0:03:25,0:03:22,69,300
2013,6,Overall,0:01:13,0:01:16,0:03:26,0:03:26,819,3794
2013,7,Jan,0:01:06,0:01:20,0:03:53,0:04:02,49,381
2013,7,Feb,0:01:01,0:01:15,0:04:25,0:03:57,30,286
2013,7,Mar,0:01:04,0:01:13,0:03:35,0:04:02,41,354
2013,7,Apr,0:01:06,0:01:13,0:04:23,0:03:58,50,329
2013,7,May,0:01:09,0:01:10,0:03:24,0:04:01,49,356
2013,7,Jun,0:01:09,0:01:13,0:03:41,0:03:59,49,317
2013,7,Jul,0:01:09,0:01:11,0:04:01,0:03:48,47,313
2013,7,Aug,0:01:04,0:01:16,0:03:57,0:04:17,50,356
2013,7,Sep,0:01:15,0:01:17,0:03:54,0:04:05,47,360
2013,7,Oct,0:01:10,0:01:17,0:04:03,0:04:05,52,358
2013,7,Nov,0:01:11,0:01:13,0:04:13,0:03:53,51,302
2013,7,Dec,0:01:09,0:01:16,0:03:36,0:03:58,58,373
2013,7,Overall,0:01:08,0:01:15,0:03:55,0:04:01,573,4085
2013,8,Jan,0:01:14,0:01:08,0:04:48,0:04:20,13,53
2013,8,Feb,0:00:52,0:01:13,0:04:53,0:05:49,9,46
2013,8,Mar,0:00:47,0:01:06,0:04:50,0:05:22,9,63
2013,8,Apr,0:01:16,0:01:14,0:04:14,0:04:45,12,63
2013,8,May,0:01:26,0:01:10,0:04:03,0:04:35,9,60
2013,8,Jun,0:01:20,0:01:06,0:04:34,0:04:38,15,49
2013,8,Jul,0:01:07,0:01:09,0:04:49,0:04:05,8,50
2013,8,Aug,0:01:18,0:01:07,0:04:53,0:04:32,9,67
2013,8,Sep,0:01:17,0:01:06,0:03:59,0:04:15,3,48
2013,8,Oct,0:01:15,0:01:08,0:06:03,0:04:41,8,44
2013,8,Nov,0:01:11,0:01:06,0:04:03,0:04:41,10,47
2013,8,Dec,0:01:16,0:01:11,0:04:38,0:05:01,15,64
2013,8,Overall,0:01:14,0:01:09,0:04:38,0:04:44,120,654
2013,9,Jan,0:00:53,0:01:20,0:03:13,0:03:03,193,760
2013,9,Feb,0:00:56,0:01:19,0:03:21,0:03:16,147,687
2013,9,Mar,0:00:57,0:01:21,0:02:45,0:03:09,213,770
2013,9,Apr,0:01:02,0:01:17,0:02:51,0:03:05,182,694
2013,9,May,0:00:56,0:01:16,0:02:49,0:03:01,165,746
2013,9,Jun,0:01:03,0:01:16,0:02:53,0:03:04,155,756
2013,9,Jul,0:01:03,0:01:19,0:02:39,0:03:07,154,742
2013,9,Aug,0:01:01,0:01:17,0:02:53,0:03:10,172,830
2013,9,Sep,0:00:57,0:01:16,0:02:55,0:03:01,179,753
2013,9,Oct,0:01:00,0:01:19,0:02:54,0:03:08,198,794
2013,9,Nov,0:01:03,0:01:15,0:02:56,0:02:51,236,827
2013,9,Dec,0:00:58,0:01:16,0:02:52,0:02:59,215,799
2013,9,Overall,0:00:59,0:01:18,0:02:55,0:03:04,2209,9158
2013,10,Jan,0:01:14,0:01:17,0:03:26,0:03:29,102,291
2013,10,Feb,0:01:21,0:01:18,0:03:22,0:03:52,59,289
2013,10,Mar,0:01:22,0:01:17,0:03:34,0:03:40,69,338
2013,10,Apr,0:01:14,0:01:14,0:03:36,0:03:34,71,307
2013,10,May,0:01:12,0:01:10,0:03:17,0:03:18,79,313
2013,10,Jun,0:01:11,0:01:11,0:03:29,0:03:35,69,309
2013,10,Jul,0:01:11,0:01:10,0:03:20,0:03:38,94,294
2013,10,Aug,0:01:10,0:01:12,0:03:54,0:03:37,71,317
2013,10,Sep,0:01:10,0:01:13,0:03:46,0:03:31,92,289
2013,10,Oct,0:01:11,0:01:14,0:03:39,0:03:43,91,345
2013,10,Nov,0:01:07,0:01:14,0:03:21,0:03:36,99,343
2013,10,Dec,0:01:19,0:01:14,0:03:48,0:03:29,82,335
2013,10,Overall,0:01:13,0:01:14,0:03:32,0:03:35,978,3770
2013,11,Jan,0:01:03,0:01:09,0:02:42,0:03:03,123,558
2013,11,Feb,0:01:10,0:01:09,0:02:45,0:02:54,101,501
2013,11,Mar,0:01:07,0:01:10,0:02:41,0:03:05,108,573
2013,11,Apr,0:01:04,0:01:10,0:02:56,0:02:59,127,511
2013,11,May,0:01:13,0:01:08,0:03:16,0:03:00,117,530
2013,11,Jun,0:01:11,0:01:08,0:03:05,0:02:57,105,555
2013,11,Jul,0:01:08,0:01:13,0:03:25,0:03:06,93,464
2013,11,Aug,0:01:10,0:01:11,0:02:44,0:03:10,107,568
2013,11,Sep,0:01:11,0:01:13,0:03:07,0:03:01,122,520
2013,11,Oct,0:01:13,0:01:10,0:02:59,0:03:02,100,531
2013,11,Nov,0:01:08,0:01:11,0:03:13,0:03:01,126,542
2013,11,Dec,0:01:07,0:01:11,0:03:24,0:03:03,131,542
2013,11,Overall,0:01:09,0:01:10,0:03:02,0:03:02,1360,6395
2013,12,Jan,0:01:11,0:01:07,0:03:43,0:03:45,46,205
2013,12,Feb,0:01:10,0:01:08,0:03:55,0:03:50,30,162
2013,12,Mar,0:01:10,0:01:06,0:04:11,0:03:43,30,224
2013,12,Apr,0:01:17,0:01:14,0:03:58,0:03:58,41,175
2013,12,May,0:01:15,0:01:10,0:04:48,0:03:52,31,257
2013,12,Jun,0:01:14,0:01:12,0:03:45,0:03:38,37,202
2013,12,Jul,0:01:11,0:01:10,0:05:11,0:03:28,35,181
2013,12,Aug,0:01:14,0:01:10,0:04:07,0:03:41,42,209
2013,12,Sep,0:01:27,0:01:11,0:03:51,0:03:51,18,199
2013,12,Oct,0:01:10,0:01:07,0:03:21,0:03:51,39,218
2013,12,Nov,0:01:17,0:01:14,0:03:53,0:03:34,34,164
2013,12,Dec,0:01:25,0:01:10,0:04:28,0:03:33,25,189
2013,12,Overall,0:01:14,0:01:10,0:04:05,0:03:44,408,2385
2013,13,Jan,0:01:11,0:01:13,0:03:26,0:03:19,65,366
2013,13,Feb,0:01:07,0:01:10,0:03:20,0:03:23,46,319
2013,13,Mar,0:01:14,0:01:10,0:04:20,0:03:21,49,360
2013,13,Apr,0:01:08,0:01:08,0:03:53,0:03:20,65,315
2013,13,May,0:01:07,0:01:14,0:04:13,0:03:24,66,364
2013,13,Jun,0:01:16,0:01:13,0:03:12,0:03:29,49,370
2013,13,Jul,0:01:13,0:01:11,0:03:21,0:03:32,72,324
2013,13,Aug,0:01:12,0:01:15,0:04:26,0:03:30,76,381
2013,13,Sep,0:01:15,0:01:14,0:03:46,0:03:22,45,327
2013,13,Oct,0:01:12,0:01:14,0:03:05,0:03:38,73,263
2013,13,Nov,0:01:18,0:01:15,0:03:41,0:03:28,64,346
2013,13,Dec,0:01:09,0:01:13,0:03:42,0:03:39,65,350
2013,13,Overall,0:01:12,0:01:13,0:03:42,0:03:27,735,4085
2013,14,Jan,0:01:14,0:01:04,0:02:42,0:03:08,65,252
2013,14,Feb,0:01:13,0:01:04,0:03:07,0:03:21,29,237
2013,14,Mar,0:01:08,0:01:05,0:02:44,0:03:08,38,258
2013,14,Apr,0:01:11,0:01:03,0:03:28,0:03:01,31,293
2013,14,May,0:01:09,0:01:04,0:02:39,0:02:55,48,243
2013,14,Jun,0:01:02,0:01:04,0:02:52,0:03:11,53,267
2013,14,Jul,0:01:02,0:01:06,0:03:00,0:03:19,61,244
2013,14,Aug,0:01:09,0:01:05,0:03:03,0:03:10,64,272
2013,14,Sep,0:01:13,0:01:05,0:03:19,0:03:01,58,257
2013,14,Oct,0:01:05,0:01:04,0:03:08,0:02:55,64,244
2013,14,Nov,0:01:23,0:01:06,0:03:36,0:03:19,37,256
2013,14,Dec,0:01:06,0:01:07,0:03:28,0:03:14,54,280
2013,14,Overall,0:01:09,0:01:05,0:03:04,0:03:08,602,3103
2013,15,Jan,0:01:13,0:01:19,0:04:08,0:03:42,68,316
2013,15,Feb,0:01:17,0:01:17,0:03:29,0:03:34,68,304
2013,15,Mar,0:01:05,0:01:17,0:02:56,0:03:40,59,312
2013,15,Apr,0:01:16,0:01:17,0:02:50,0:03:20,68,313
2013,15,May,0:01:16,0:01:16,0:03:19,0:03:33,67,333
2013,15,Jun,0:01:10,0:01:15,0:03:19,0:03:21,69,286
2013,15,Jul,0:01:13,0:01:15,0:03:58,0:03:34,67,292
2013,15,Aug,0:01:07,0:01:18,0:03:41,0:03:19,68,316
2013,15,Sep,0:01:09,0:01:19,0:03:39,0:03:26,81,344
2013,15,Oct,0:01:12,0:01:20,0:03:04,0:03:35,81,348
2013,15,Nov,0:01:01,0:01:15,0:03:38,0:03:48,82,336
2013,15,Dec,0:01:11,0:01:17,0:03:31,0:03:28,71,270
2013,15,Overall,0:01:11,0:01:17,0:03:28,0:03:32,849,3770
2013,16,Jan,0:01:26,0:01:20,0:04:25,0:04:29,26,94
2013,16,Feb,0:01:20,0:01:13,0:05:03,0:05:15,31,97
2013,16,Mar,0:01:21,0:01:22,0:04:18,0:04:18,18,104
2013,16,Apr,0:01:34,0:01:17,0:06:15,0:05:09,24,97
2013,16,May,0:01:17,0:01:18,0:05:04,0:05:35,22,82
2013,16,Jun,0:01:33,0:01:25,0:06:34,0:05:01,12,83
2013,16,Jul,0:01:10,0:01:24,0:05:25,0:04:39,21,87
2013,16,Aug,0:01:16,0:01:25,0:04:50,0:04:14,23,75
2013,16,Sep,0:01:11,0:01:20,0:05:40,0:04:51,32,93
2013,16,Oct,0:01:13,0:01:20,0:07:07,0:04:41,36,96
2013,16,Nov,0:01:16,0:01:19,0:05:32,0:05:02,19,105
2013,16,Dec,0:01:31,0:01:22,0:05:03,0:04:45,28,79
2013,16,Overall,0:01:20,0:01:20,0:05:26,0:04:50,292,1092
2013,17,Jan,0:01:32,0:01:15,0:03:32,0:03:45,37,71
2013,17,Feb,0:01:11,0:01:14,0:04:14,0:03:27,36,66
2013,17,Mar,0:01:15,0:01:17,0:04:15,0:03:40,35,97
2013,17,Apr,0:01:16,0:01:20,0:04:04,0:04:05,42,84
2013,17,May,0:01:17,0:01:17,0:04:37,0:03:39,36,82
2013,17,Jun,0:01:03,0:01:12,0:04:48,0:03:10,39,90
2013,17,Jul,0:01:15,0:01:21,0:03:29,0:03:45,48,97
2013,17,Aug,0:01:10,0:01:12,0:04:50,0:03:58,35,90
2013,17,Sep,0:01:17,0:01:14,0:03:11,0:03:23,41,81
2013,17,Oct,0:01:15,0:01:11,0:03:52,0:03:35,41,92
2013,17,Nov,0:01:22,0:01:23,0:03:45,0:03:57,43,72
2013,17,Dec,0:01:20,0:01:21,0:05:02,0:03:46,50,84
2013,17,Overall,0:01:17,0:01:17,0:04:07,0:03:41,483,1006
2013,18,Jan,0:01:15,0:01:09,0:05:22,0:04:19,21,100
2013,18,Feb,0:01:14,0:01:09,0:04:17,0:04:31,21,100
2013,18,Mar,0:01:00,0:01:10,0:06:21,0:04:25,20,111
2013,18,Apr,0:01:21,0:01:06,0:04:34,0:04:24,22,100
2013,18,May,0:01:06,0:01:00,0:04:09,0:04:21,15,97
2013,18,Jun,0:01:10,0:01:08,0:05:25,0:04:53,21,90
2013,18,Jul,0:00:57,0:01:01,0:04:54,0:05:15,18,92
2013,18,Aug,0:01:14,0:01:14,0:05:18,0:05:07,15,87
2013,18,Sep,0:01:03,0:01:08,0:05:53,0:04:44,16,80
2013,18,Oct,0:00:55,0:01:04,0:04:39,0:05:11,25,99
2013,18,Nov,0:01:03,0:01:03,0:04:08,0:04:26,19,94
2013,18,Dec,0:01:19,0:01:12,0:05:13,0:04:39,15,112
2013,18,Overall,0:01:08,0:01:07,0:05:01,0:04:40,228,1162
2013,19,Jan,0:01:12,0:01:10,0:05:20,0:05:05,57,203
2013,19,Feb,0:01:00,0:01:08,0:05:40,0:05:31,59,165
2013,19,Mar,0:01:03,0:01:06,0:05:13,0:04:52,75,162
2013,19,Apr,0:01:02,0:01:09,0:05:31,0:05:06,51,181
2013,19,May,0:01:09,0:01:11,0:07:29,0:05:19,53,179
2013,19,Jun,0:01:08,0:01:11,0:05:37,0:04:47,64,149
2013,19,Jul,0:01:04,0:01:09,0:05:18,0:05:02,49,177
2013,19,Aug,0:01:08,0:01:11,0:05:53,0:04:52,65,184
2013,19,Sep,0:01:12,0:01:12,0:06:28,0:05:16,69,188
2013,19,Oct,0:01:02,0:01:10,0:05:23,0:05:23,56,172
2013,19,Nov,0:01:01,0:01:03,0:06:30,0:05:19,76,174
2013,19,Dec,0:01:04,0:01:08,0:06:02,0:05:15,77,166
2013,19,Overall,0:01:06,0:01:09,0:05:53,0:05:09,751,2100
2013,20,Jan,0:01:09,0:01:12,0:03:18,0:03:45,48,242
2013,20,Feb,0:01:14,0:01:14,0:04:09,0:03:41,28,214
2013,20,Mar,0:01:18,0:01:09,0:03:26,0:03:43,42,210
2013,20,Apr,0:01:21,0:01:14,0:02:58,0:03:34,31,225
2013,20,May,0:01:15,0:01:10,0:03:18,0:03:31,35,250
2013,20,Jun,0:01:19,0:01:10,0:04:46,0:04:05,35,229
2013,20,Jul,0:01:07,0:01:09,0:04:05,0:03:59,46,186
2013,20,Aug,0:01:20,0:01:09,0:04:29,0:03:57,40,244
2013,20,Sep,0:01:25,0:01:12,0:03:18,0:03:46,39,206
2013,20,Oct,0:01:17,0:01:15,0:04:13,0:03:50,36,239
2013,20,Nov,0:01:20,0:01:14,0:04:23,0:03:42,31,191
2013,20,Dec,0:01:19,0:01:11,0:04:03,0:03:31,48,175
2013,20,Overall,0:01:17,0:01:12,0:03:52,0:03:45,459,2611
2013,21,Jan,0:01:05,0:01:08,0:03:58,0:03:49,55,243
2013,21,Feb,0:01:07,0:01:09,0:03:57,0:03:42,34,227
2013,21,Mar,0:01:12,0:01:13,0:04:32,0:03:52,39,249
2013,21,Apr,0:01:03,0:01:09,0:04:42,0:03:37,24,228
2013,21,May,0:01:16,0:01:08,0:02:42,0:03:28,37,244
2013,21,Jun,0:01:07,0:01:13,0:03:09,0:03:40,26,211
2013,21,Jul,0:01:11,0:01:12,0:03:55,0:03:28,43,213
2013,21,Aug,0:01:10,0:01:10,0:04:05,0:03:36,33,233
2013,21,Sep,0:01:12,0:01:10,0:03:42,0:03:48,35,227
2013,21,Oct,0:01:03,0:01:11,0:04:37,0:03:31,36,214
2013,21,Nov,0:01:09,0:01:09,0:03:44,0:03:45,38,226
2013,21,Dec,0:01:10,0:01:10,0:03:08,0:03:28,41,271
2013,21,Overall,0:01:09,0:01:10,0:03:51,0:03:39,441,2786
2013,23,Jan,0:01:09,0:01:25,0:05:29,0:04:39,9,57
2013,23,Feb,0:01:25,0:01:19,0:03:34,0:05:04,7,40
2013,23,Mar,0:01:29,0:01:25,0:05:13,0:04:58,8,48
2013,23,Apr,0:01:12,0:01:28,0:05:20,0:05:14,7,31
2013,23,May,0:01:22,0:01:29,0:04:06,0:05:19,8,57
2013,23,Jun,0:01:41,0:01:21,0:06:05,0:05:24,10,55
2013,23,Jul,0:01:19,0:01:22,0:05:28,0:03:59,15,63
2013,23,Aug,0:01:23,0:01:27,0:05:09,0:04:41,23,49
2013,23,Sep,0:01:27,0:01:32,0:04:14,0:05:01,11,46
2013,23,Oct,0:01:09,0:01:29,0:04:18,0:04:25,15,44
2013,23,Nov,0:01:09,0:01:28,0:06:35,0:04:39,15,42
2013,23,Dec,0:01:05,0:01:28,0:06:18,0:04:11,11,38
2013,23,Overall,0:01:20,0:01:26,0:05:16,0:04:47,139,570
2013,24,Jan,0:01:16,0:01:15,0:04:55,0:04:41,13,56
2013,24,Feb,0:01:14,0:01:10,0:03:38,0:05:14,13,47
2013,24,Mar,0:01:17,0:01:17,0:04:11,0:04:41,9,45
2013,24,Apr,0:01:06,0:01:15,0:06:09,0:04:13,10,53
2013,24,May,0:01:27,0:01:14,0:06:03,0:04:48,17,60
2013,24,Jun,0:01:16,0:01:23,0:05:09,0:04:40,17,68
2013,24,Jul,0:01:10,0:01:17,0:04:43,0:04:12,8,59
2013,24,Aug,0:01:24,0:01:23,0:05:09,0:04:16,11,69
2013,24,Sep,0:01:18,0:01:19,0:05:49,0:04:24,9,57
2013,24,Oct,0:01:17,0:01:19,0:04:27,0:03:59,20,54
2013,24,Nov,0:01:29,0:01:15,0:05:26,0:04:17,12,56
2013,24,Dec,0:01:15,0:01:14,0:04:53,0:04:45,16,59
2013,24,Overall,0:01:17,0:01:17,0:05:02,0:04:30,155,683
2013,25,Jan,0:01:15,0:01:27,0:04:52,0:04:09,29,161
2013,25,Feb,0:01:17,0:01:26,0:04:13,0:03:43,25,138
2013,25,Mar,0:01:11,0:01:26,0:03:52,0:03:51,40,160
2013,25,Apr,0:01:19,0:01:25,0:04:37,0:03:55,50,137
2013,25,May,0:01:17,0:01:32,0:04:29,0:03:57,37,173
2013,25,Jun,0:01:21,0:01:29,0:03:40,0:04:01,43,160
2013,25,Jul,0:01:24,0:01:26,0:05:17,0:03:58,24,169
2013,25,Aug,0:01:27,0:01:31,0:04:53,0:03:59,36,171
2013,25,Sep,0:01:18,0:01:27,0:04:52,0:04:01,34,148
2013,25,Oct,0:01:08,0:01:27,0:04:20,0:04:17,52,154
2013,25,Nov,0:01:28,0:01:28,0:04:49,0:04:07,45,157
2013,25,Dec,0:01:19,0:01:29,0:06:06,0:04:00,33,149
2013,25,Overall,0:01:18,0:01:28,0:04:38,0:04:00,448,1877
2013,26,Jan,0:01:13,0:01:18,0:03:37,0:03:47,54,343
2013,26,Feb,0:01:12,0:01:15,0:03:50,0:04:04,42,346
2013,26,Mar,0:01:20,0:01:14,0:03:48,0:03:57,35,366
2013,26,Apr,0:01:11,0:01:12,0:04:01,0:03:57,55,368
2013,26,May,0:01:11,0:01:14,0:04:15,0:03:48,58,395
2013,26,Jun,0:01:23,0:01:19,0:03:28,0:04:05,59,378
2013,26,Jul,0:01:18,0:01:21,0:03:39,0:03:51,53,353
2013,26,Aug,0:01:15,0:01:17,0:03:51,0:03:58,45,428
2013,26,Sep,0:01:08,0:01:13,0:03:52,0:03:53,40,374
2013,26,Oct,0:01:11,0:01:12,0:03:31,0:03:56,52,356
2013,26,Nov,0:01:13,0:01:13,0:03:47,0:03:40,49,325
2013,26,Dec,0:01:15,0:01:15,0:03:56,0:03:39,46,388
2013,26,Overall,0:01:14,0:01:15,0:03:48,0:03:53,588,4420
2013,27,Jan,0:01:07,0:01:20,0:03:42,0:03:55,134,469
2013,27,Feb,0:00:58,0:01:17,0:04:09,0:03:55,72,439
2013,27,Mar,0:01:03,0:01:17,0:03:24,0:03:42,97,474
2013,27,Apr,0:01:04,0:01:19,0:03:08,0:03:56,91,471
2013,27,May,0:01:03,0:01:18,0:03:38,0:04:02,105,462
2013,27,Jun,0:01:01,0:01:19,0:03:24,0:03:56,97,484
2013,27,Jul,0:01:09,0:01:18,0:03:19,0:03:51,97,459
2013,27,Aug,0:01:10,0:01:18,0:03:23,0:03:48,108,475
2013,27,Sep,0:01:08,0:01:16,0:03:20,0:03:45,105,409
2013,27,Oct,0:01:02,0:01:18,0:04:22,0:03:54,94,432
2013,27,Nov,0:01:15,0:01:20,0:03:32,0:03:49,117,441
2013,27,Dec,0:01:06,0:01:20,0:03:45,0:03:53,111,397
2013,27,Overall,0:01:06,0:01:18,0:03:35,0:03:52,1228,5412
2013,28,Jan,0:01:31,0:01:16,0:03:23,0:04:40,13,34
2013,28,Feb,0:01:32,0:01:13,0:03:09,0:05:12,6,25
2013,28,Mar,0:01:17,0:01:14,0:04:54,0:04:27,12,30
2013,28,Apr,0:02:04,0:01:11,0:05:45,0:05:18,2,28
2013,28,May,0:01:24,0:01:16,0:04:09,0:04:20,13,45
2013,28,Jun,0:01:48,0:01:12,0:02:19,0:04:44,4,33
2013,28,Jul,0:01:12,0:01:12,0:04:25,0:05:29,8,45
2013,28,Aug,0:01:17,0:01:10,0:03:58,0:05:07,7,29
2013,28,Sep,0:01:12,0:01:14,0:04:05,0:05:03,4,41
2013,28,Oct,0:01:10,0:01:10,0:03:35,0:05:36,11,27
2013,28,Nov,0:01:34,0:01:14,0:03:35,0:05:19,4,39
2013,28,Dec,0:01:14,0:01:06,0:03:29,0:04:48,11,39
2013,28,Overall,0:01:21,0:01:12,0:03:51,0:04:59,95,415
2013,29,Jan,0:01:12,0:01:06,0:03:34,0:04:01,85,355
2013,29,Feb,0:01:14,0:01:07,0:03:27,0:03:49,59,309
2013,29,Mar,0:01:10,0:01:09,0:03:35,0:03:50,82,297
2013,29,Apr,0:01:08,0:01:11,0:03:45,0:03:46,81,286
2013,29,May,0:01:11,0:01:09,0:03:48,0:03:37,72,269
2013,29,Jun,0:01:06,0:01:09,0:03:06,0:03:39,67,326
2013,29,Jul,0:01:13,0:01:08,0:02:58,0:03:53,71,285
2013,29,Aug,0:01:08,0:01:10,0:03:45,0:04:00,63,327
2013,29,Sep,0:01:17,0:01:09,0:02:59,0:03:45,67,290
2013,29,Oct,0:01:14,0:01:10,0:03:08,0:04:08,68,328
2013,29,Nov,0:01:10,0:01:09,0:02:56,0:03:48,74,311
2013,29,Dec,0:01:05,0:01:09,0:03:24,0:03:50,105,342
2013,29,Overall,0:01:11,0:01:09,0:03:23,0:03:51,894,3725
2013,33,Jan,0:01:12,0:01:13,0:03:12,0:03:56,78,555
2013,33,Feb,0:01:08,0:01:12,0:03:17,0:03:57,61,527
2013,33,Mar,0:01:11,0:01:12,0:03:34,0:03:54,56,548
2013,33,Apr,0:01:12,0:01:12,0:03:19,0:03:40,62,455
